cluster,conversation_id,step_id,user_asks,agent_replied,proceeded
C1_Hyperpolite,C1_Hyperpolite__debug__seed20251,1,2,TRUE,FALSE
C1_Hyperpolite,C1_Hyperpolite__debug__seed20251,2,2,TRUE,FALSE
C1_Hyperpolite,C1_Hyperpolite__debug__seed20251,3,2,TRUE,FALSE
C1_Hyperpolite,C1_Hyperpolite__debug__seed20251,4,1,TRUE,TRUE
C1_Hyperpolite,C1_Hyperpolite__debug__seed20251,5,2,TRUE,FALSE
C1_Hyperpolite,C1_Hyperpolite__debug__seed20251,6,1,TRUE,FALSE
C3_DirectLowPoliteness,C3_DirectLowPoliteness__debug__seed20251,1,1,TRUE,TRUE
C3_DirectLowPoliteness,C3_DirectLowPoliteness__debug__seed20251,2,2,TRUE,FALSE
C3_DirectLowPoliteness,C3_DirectLowPoliteness__debug__seed20251,3,1,TRUE,TRUE
C3_DirectLowPoliteness,C3_DirectLowPoliteness__debug__seed20251,4,2,TRUE,FALSE
C3_DirectLowPoliteness,C3_DirectLowPoliteness__debug__seed20251,5,1,TRUE,TRUE
C3_DirectLowPoliteness,C3_DirectLowPoliteness__debug__seed20251,6,1,TRUE,TRUE
C5_Impolite,C5_Impolite__debug__seed20251,1,1,TRUE,FALSE
C5_Impolite,C5_Impolite__debug__seed20251,2,2,TRUE,FALSE
C5_Impolite,C5_Impolite__debug__seed20251,3,2,TRUE,FALSE
C5_Impolite,C5_Impolite__debug__seed20251,4,2,TRUE,FALSE
C5_Impolite,C5_Impolite__debug__seed20251,5,1,TRUE,FALSE
C5_Impolite,C5_Impolite__debug__seed20251,6,1,TRUE,TRUE
